"Name","Team","GP","Top 24","RB1","RB2","RB3","RB4+"
"Christian McCaffrey","CAR","17","88.2%","64.7%","23.5%","5.9%","5.9%"
"Breece Hall","NYJ","7","85.7%","42.9%","42.9%","0.0%","14.3%"
"Austin Ekeler","LAC","17","82.4%","64.7%","17.6%","17.6%","0.0%"
"Saquon Barkley","NYG","16","81.3%","50.0%","31.3%","6.3%","12.5%"
"Nick Chubb","CLE","17","76.5%","47.1%","29.4%","23.5%","0.0%"
"Derrick Henry","TEN","16","75.0%","56.3%","18.8%","18.8%","6.3%"
"Josh Jacobs","LV","17","70.6%","52.9%","17.6%","11.8%","17.6%"
"Rhamondre Stevenson","NE","17","70.6%","35.3%","35.3%","0.0%","29.4%"
"James Conner","ARI","13","69.2%","38.5%","30.8%","15.4%","15.4%"
"Dameon Pierce","HOU","13","69.2%","30.8%","38.5%","7.7%","23.1%"
"Tony Pollard","DAL","16","68.8%","37.5%","31.3%","6.3%","25.0%"
"Ezekiel Elliott","DAL","15","66.7%","33.3%","33.3%","13.3%","20.0%"
"Kenneth Walker III","SEA","15","66.7%","33.3%","33.3%","6.7%","26.7%"
"Joe Mixon","CIN","14","64.3%","35.7%","28.6%","21.4%","14.3%"
"Jonathan Taylor","IND","11","63.6%","36.4%","27.3%","9.1%","27.3%"
"Najee Harris","PIT","17","58.8%","17.6%","41.2%","29.4%","11.8%"
"Leonard Fournette","TB","16","56.3%","18.8%","37.5%","25.0%","18.8%"
"Alvin Kamara","NO","15","53.3%","26.7%","26.7%","20.0%","33.3%"
"Dalvin Cook","MIN","17","52.9%","35.3%","17.6%","29.4%","23.5%"
"Jamaal Williams","DET","17","52.9%","35.3%","17.6%","17.6%","35.3%"
"Aaron Jones","GB","17","52.9%","35.3%","17.6%","29.4%","17.6%"
"Miles Sanders","PHI","17","52.9%","29.4%","23.5%","0.0%","47.1%"
"David Montgomery","CHI","16","50.0%","25.0%","25.0%","12.5%","37.5%"
"J.K. Dobbins","BAL","8","50.0%","25.0%","25.0%","0.0%","50.0%"
"D'Andre Swift","DET","14","50.0%","28.6%","21.4%","35.7%","14.3%"
"Javonte Williams","DEN","4","50.0%","0.0%","50.0%","25.0%","25.0%"
"Travis Etienne Jr.","JAX","17","47.1%","23.5%","23.5%","17.6%","35.3%"
"Latavius Murray","NO","13","46.2%","23.1%","23.1%","46.2%","7.7%"
"Cordarrelle Patterson","ATL","13","46.2%","30.8%","15.4%","23.1%","30.8%"
"Raheem Mostert","MIA","16","43.8%","18.8%","25.0%","31.3%","31.3%"
"Tyler Allgeier","ATL","16","43.8%","18.8%","25.0%","12.5%","43.8%"
"Zonovan Knight","NYJ","7","42.9%","0.0%","42.9%","0.0%","57.1%"
"Jerick McKinnon","KC","17","41.2%","17.6%","23.5%","17.6%","41.2%"
"Isiah Pacheco","KC","17","41.2%","5.9%","35.3%","17.6%","47.1%"
"Melvin Gordon III","DEN","10","40.0%","10.0%","30.0%","10.0%","50.0%"
"Cam Akers","LAR","15","40.0%","20.0%","20.0%","20.0%","40.0%"
"Clyde Edwards-Helaire","KC","10","40.0%","30.0%","10.0%","10.0%","50.0%"
"Antonio Gibson","WAS","15","40.0%","13.3%","26.7%","26.7%","40.0%"
"Khalil Herbert","CHI","13","38.5%","7.7%","30.8%","7.7%","53.8%"
"Jeff Wilson Jr.","SF","16","37.5%","18.8%","18.8%","25.0%","37.5%"
"Devin Singletary","BUF","16","37.5%","25.0%","12.5%","37.5%","31.3%"
"Damien Harris","NE","11","36.4%","9.1%","27.3%","0.0%","63.6%"
"James Robinson","JAX","11","36.4%","27.3%","9.1%","9.1%","54.5%"
"AJ Dillon","GB","17","35.3%","23.5%","11.8%","29.4%","35.3%"
"Kenyan Drake","BAL","12","33.3%","25.0%","8.3%","8.3%","58.3%"
"Brian Robinson","WAS","12","33.3%","8.3%","25.0%","41.7%","33.3%"
"Samaje Perine","CIN","16","31.3%","18.8%","12.5%","12.5%","62.5%"
"Darrell Henderson Jr.","LAR","10","30.0%","0.0%","30.0%","20.0%","50.0%"
"Rachaad White","TB","17","29.4%","0.0%","29.4%","17.6%","52.9%"
"Marlon Mack","SF","8","25.0%","0.0%","25.0%","0.0%","75.0%"
"D'Onta Foreman","CAR","17","23.5%","17.6%","5.9%","17.6%","58.8%"
"Tevin Coleman","SF","5","20.0%","20.0%","0.0%","0.0%","80.0%"
"Rashaad Penny","SEA","5","20.0%","20.0%","0.0%","40.0%","40.0%"
"Chuba Hubbard","CAR","15","20.0%","6.7%","13.3%","13.3%","66.7%"
"Eno Benjamin","ARI","15","20.0%","6.7%","13.3%","13.3%","80.0%"
"Elijah Mitchell","SF","5","20.0%","20.0%","0.0%","40.0%","40.0%"
"Kevin Harris","NE","5","20.0%","0.0%","20.0%","0.0%","80.0%"
"Michael Carter","NYJ","16","18.8%","6.3%","12.5%","31.3%","56.3%"
"JaMycal Hasty","JAX","17","17.6%","5.9%","11.8%","0.0%","82.4%"
"Ronald Jones","KC","6","16.7%","0.0%","16.7%","0.0%","83.3%"
"Darrel Williams","ARI","6","16.7%","16.7%","0.0%","0.0%","83.3%"
"Raheem Blackshear","CAR","13","15.4%","0.0%","15.4%","7.7%","76.9%"
"Boston Scott","PHI","15","13.3%","0.0%","13.3%","0.0%","86.7%"
"J.D. McKissic","WAS","8","12.5%","0.0%","12.5%","12.5%","87.5%"
"Nyheim Hines","IND","16","12.5%","0.0%","12.5%","12.5%","75.0%"
"Deon Jackson","IND","16","12.5%","12.5%","0.0%","12.5%","75.0%"
"James Cook","BUF","16","12.5%","6.3%","6.3%","25.0%","62.5%"
"Jaylen Warren","PIT","16","12.5%","0.0%","12.5%","18.8%","68.8%"
"Kareem Hunt","CLE","17","11.8%","5.9%","5.9%","35.3%","52.9%"
"Alexander Mattison","MIN","17","11.8%","5.9%","5.9%","17.6%","70.6%"
"Kenneth Gainwell","PHI","17","11.8%","0.0%","11.8%","17.6%","70.6%"
"Corey Clement","ARI","9","11.1%","0.0%","11.1%","0.0%","88.9%"
"Gus Edwards","BAL","9","11.1%","11.1%","0.0%","33.3%","55.6%"
"Travis Homer","SEA","10","10.0%","0.0%","10.0%","10.0%","90.0%"
"Dontrell Hilliard","TEN","12","8.3%","8.3%","0.0%","25.0%","66.7%"
"Caleb Huntley","ATL","12","8.3%","0.0%","8.3%","16.7%","75.0%"
"Chase Edmonds","MIA","13","7.7%","7.7%","0.0%","30.8%","69.2%"
"Joshua Kelley","LAC","13","7.7%","0.0%","7.7%","7.7%","84.6%"
"Zack Moss","BUF","13","7.7%","7.7%","0.0%","15.4%","76.9%"
"DeeJay Dallas","SEA","15","6.7%","0.0%","6.7%","6.7%","86.7%"
"Reggie Gilliam","BUF","15","6.7%","0.0%","6.7%","0.0%","93.3%"
"Pierre Strong Jr.","NE","15","6.7%","6.7%","0.0%","0.0%","93.3%"
"Brandon Bolden","LV","16","6.3%","0.0%","6.3%","0.0%","93.8%"
"Rex Burkhead","HOU","16","6.3%","0.0%","6.3%","12.5%","81.3%"
"Justin Jackson","DET","16","6.3%","0.0%","6.3%","6.3%","87.5%"
"Ameer Abdullah","LV","17","5.9%","0.0%","5.9%","0.0%","94.1%"
"Matt Breida","NYG","17","5.9%","0.0%","5.9%","11.8%","88.2%"
"Alec Ingold","MIA","17","5.9%","0.0%","5.9%","0.0%","94.1%"
"Ty Johnson","NYJ","17","5.9%","0.0%","5.9%","5.9%","94.1%"
"Benny Snell Jr.","PIT","17","5.9%","0.0%","5.9%","0.0%","94.1%"
"Mark Ingram II","NO","10","0.0%","0.0%","0.0%","30.0%","70.0%"
"Kyle Juszczyk","SF","16","0.0%","0.0%","0.0%","12.5%","87.5%"
"Giovani Bernard","TB","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Keith Smith","ATL","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"David Johnson","NO","5","0.0%","0.0%","0.0%","0.0%","100.0%"
"Mike Davis","BAL","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Michael Burton","KC","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Malcolm Brown","LAR","11","0.0%","0.0%","0.0%","9.1%","90.9%"
"Jonathan Williams","WAS","13","0.0%","0.0%","0.0%","0.0%","100.0%"
"Derek Watt","PIT","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Dwayne Washington","NO","12","0.0%","0.0%","0.0%","0.0%","100.0%"
"C.J. Ham","MIN","17","0.0%","0.0%","0.0%","11.8%","88.2%"
"Patrick Ricard","BAL","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Dare Ogunbowale","HOU","17","0.0%","0.0%","0.0%","17.6%","88.2%"
"Royce Freeman","HOU","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Sony Michel","LAC","10","0.0%","0.0%","0.0%","10.0%","90.0%"
"Jordan Wilkins","IND","4","0.0%","0.0%","0.0%","25.0%","75.0%"
"Jason Cabinda","DET","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Mike Boone","DEN","9","0.0%","0.0%","0.0%","11.1%","88.9%"
"Myles Gaskin","MIA","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Justice Hill","BAL","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Trayveon Williams","CIN","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jakob Johnson","LV","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Khari Blasingame","CHI","16","0.0%","0.0%","0.0%","0.0%","100.0%"
"Craig Reynolds","DET","9","0.0%","0.0%","0.0%","11.1%","88.9%"
"D'Ernest Johnson","CLE","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tony Jones Jr.","NO","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Larry Rountree III","LAC","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ke'Shawn Vaughn","TB","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Patrick Taylor","GB","14","0.0%","0.0%","0.0%","0.0%","100.0%"
"Salvon Ahmed","MIA","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Darrynton Evans","CHI","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Demetric Felton Jr.","CLE","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ronnie Rivers","LAR","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Keaontay Ingram","ARI","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Gary Brightwell","NYG","17","0.0%","0.0%","0.0%","11.8%","88.2%"
"Kene Nwangwu","MIN","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tory Carter","TEN","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Avery Williams","ATL","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Adam Prentice","NO","11","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tyrion Davis-Price","SF","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Isaiah Spiller","LAC","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jerome Ford","CLE","13","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kyren Williams","LAR","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Snoop Conner","JAX","8","0.0%","0.0%","0.0%","12.5%","87.5%"
"Hassan Haskins","TEN","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jordan Mason","SF","16","0.0%","0.0%","0.0%","12.5%","87.5%"
"Trestan Ebner","CHI","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Julius Chestnut","TEN","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Zander Horvath","LAC","15","0.0%","0.0%","0.0%","13.3%","86.7%"
"Malik Davis","DAL","12","0.0%","0.0%","0.0%","16.7%","83.3%"
"Troy Hairston","HOU","16","0.0%","0.0%","0.0%","0.0%","100.0%"